site,job_url,job_url_direct,title,company,location,job_type,date_posted,description
linkedin,https://www.linkedin.com/jobs/view/3748535426,,Software Engineer (C++),Cubic Corporation,"Salfords, England, UK",,2024-03-14,"Business Unit:Cubic Transportation SystemsCompany Details:Cubic offers an opportunity to provide innovative technology for government and commercial customers around the globe, helping to solve their future problems today. We’re the leading integrator of payment and information technology and services for intelligent travel solutions. This role specifically supports London’s smart travel and payment system. The successful candidate would be an active member of the team developing a new device on the London system. If you have an entrepreneurial spirit and thrive in an innovative environment, we want to talk to you about your next role at Cubic! We are seeking employees inspired by technology, teamwork, quality, integrity, and respect. We invite you to explore opportunities with Cubic.Job Details:Job Summary: Conceptualise, designs, codes, debugs and performs development activities in accordance with designated standards and procedures to meet specific project requirements.Essential Job Duties and Responsibilities: Using the current programming language and technologies provide creative, thorough and practical solutions to a wide range of technical problems. Analyse and contribute to system and subsystem requirements specifications and design definitions.Design, develop and test applications and programs to support the company’s products.Design, develop and test software programs following established quality standards and in accordance with internal engineering procedures including coding, unit testing, peer reviews and software configuration control. Complete high and low level detailed software design specifications, storyboards and interface specifications.Provide support of products through conception to product delivery including problem solving, defect maintenance and support to customer services (which may require out of hours support in certain circumstances).Keeps abreast of improvements and developments within software engineering, supporting continuous improvement within engineering.Comply with Cubic’s values and adherence to all company policy and procedures. In particular, comply with the code of conduct, quality, security and occupational health, safety and environmental policies and procedures.In addition to the duties and responsibilities listed, the job holder is required to perform other duties assigned by their manager from time-to-time, as may be reasonably required of them.Minimum Job Requirements: Education And QualificationsEssential:Bachelor of Science degree in computer science, electrical engineering, or related field or equivalent professional experience or combination of both.Desirable:Master’s Degree in computer science or related discipline or equivalent qualification/experience.Certification in a relevant programming language or framework.Certified Scrum Master.Skills, Knowledge And ExperienceEssential:Good C++ experienceExperience in Software Engineering with a proven track record of specification, design and development. Demonstrable experience of defining test plans and test data requirements.An effective problem solver with the ability to understand and resolve complex issues.Experience in troubleshooting and debugging applications.Experience of Object Oriented Design (e.g. UML) and implementation, along with Design patterns.Ability to contribute to the development of the architecture for applications.Able to build reusable code and libraries, ensuring thorough application documentation for future use.Experience of software best practices such as Automated Testing (Google Test and VSTest), Continuous Integration, Test Driven Development, SOLID and Clean Code principles.Scrum or Kanban experience. GIT and Jenkins experience.Experience working with test teams to optimise application performance.Desirable:Previous experience of CTSL products/industry or similar is desirable.Desirable to have BitBucket and Conan experience.Desirable to have DOORS, Test Rail and JIRA experience.Experience in developing in other high-level languages, such as MQTT, Python, JavaScript, PPP, and XML. Experience with Valgrind. Efficient memory management experience. Efficient usage of disk IO experience. Cryptography. Low-level smart card comms/NFC interfacing. Experience writing simulators and test harnesses. Personal QualitiesAbility to work as part of a team towards individual and shared goals; a team player in a cross-functional environment.Good written and verbal communication skills with the ability to communicate within the project team.Demonstrates good interpersonal skills with a willingness to share knowledge and collaborate effectively with individuals within the project team. Organised with the ability to handle multiple projects and undertake new tasks.Diligent, with attention to detail. Able to problem solve and find effective and timely resolutions.Self-motivated with the ability to work on own initiatives and with minimal supervision.Potential for advancement.Desirable:Experience in developing in other high-level languages, such as MQTT, Python, JavaScript, PPP, and XML. Experience with Valgrind. Efficient memory management experience. Efficient usage of disk IO experience. Cryptography. Low-level smart card comms/NFC interfacing. Experience writing simulators and test harnesses. The description provided above is not intended to be an exhaustive list of all job duties, responsibilities and requirements. Duties, responsibilities and requirements may change over time and according to business need.Worker Type:Employee
        


        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3857313854,,Software Engineer in Test,Premier Group Recruitment,"Hemel Hempstead, England, UK",,2024-03-14,"I have partnered with a vibrant and dynamic digital agency based near Hemel Hempstead who are looking for a software engineer in test to join the team as they continue to grow and expand.They offer a fun and collaborative work environment with a hybrid work model (3 days in office, 2 days WFH) and flexible working hours. You'll also enjoy a comprehensive benefits package including gym membership, healthcare, pension, share options, annual bonus, on-site parking, and more! Position: Software Engineer In Test Location: Hemel Hempstead - 3 days per week in the office Salary: £50,000-£70,000What will you be doing? Support the automated testing effortsProgramming expertise and the ability to design sophisticated automation tools and frameworkPerform load, regression and performance testingImplement CI/CD best practicesDesign and development of automation test frameworks (ideally from scratch)Writes and executes application tests at the source code levelBuild API Test automation frameworkRequired skillsAutomation & Framework Development: Skilled in building UI and API test automation frameworks using tools like Selenium, Playwright, Appium (or similar). Experience with server-side API and integration testing, including a strong understanding of REST APIs.Test Management & Reporting: Proficient in JIRA for defect logging, test case management, execution tracking, and generating reports/dashboards.Database & CI/CD: Experienced with writing complex SQL queries and setting up CI/CD pipelines using Gitlab.Programming Languages: PHP, TypeScript/JavaScript.Testing Expertise: Experienced in a variety of testing methodologies, including functional, integration, cross-browser, regression, performance, and load testing. Familiar with tools like Postman, LambdaTest, and K6.Problem-Solving & Communication: Adept at troubleshooting test failures, identifying trends, and managing risks proactively. Possesses strong communication skills for collaborating with stakeholders on sprint planning and test strategies.Teamwork & Adaptability: Thrives in both independent and collaborative environments. Demonstrates good interpersonal skills, including negotiation and consensus building.



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3854562339,,Junior Backend Software Engineer,Grabyo,"London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3779458980,,Full Stack Engineer,Adaptavist,"Greater London, England, UK",,2024-03-13,"Grabyo is the video platform built for live, social and mobile. The cloud-based platform removes the traditional complexities of professional video production and distribution.Grabyo is trusted by major publishers and rights holders such as ITV, BT Sport, EA Sports, World Rugby, The BRIT Awards, The Television Academy, The English Football Association (FA), UFC, AELTC Wimbledon and many more. Our platform integrates with the major social platforms - including Facebook, Instagram, Periscope, Twitter, and YouTube. Grabyo is also a preferred global partner for Facebook Live.Amazon Web Services is the main hosting provider for Grabyo. Every product of the platform is architected and built for scalability and high availability for a global client base. Being a cloud-based platform allows engineers to remain agile and gives them the freedom to try new things without compromising on reliability and speed of development.For more information on Grabyo please visit the company page.We are dedicated to making sure you are happy and committed during your time with Grabyo. We achieve this by pushing the platform and the team to use the latest technologies and to give you a whole new set of responsibilities. You will be responsible for your products end to end, from design and architecture to releasing and supporting in production. This way we guarantee that you will be engaged, challenged and more importantly: that you can make the difference.Being social is a huge part of the Grabyo family. We like to have fun together and we provide a series of activities to help in this area. If you are interested in these activities and some of the benefits we enjoy at Grabyo, please visit this website.If technology gets you going in the morning, then you are in the right place!As a Junior Backend Engineer at Grabyo; you will have exposure to the backend APIs and services that sit at the core of the Grabyo Platform. Some days you might be part of the team working at the core of services like live transcoding or automated closed captioning; while other days you might be part of the team architecting our platform to improve our path to microservices.Java, JavaScript, Go, NoSQL, serverless architectures, microservices, auto-scaling and auto-recovery, AWS Kinesis, ECS Fargate, DynamoDB, media processing, Terraform - these are a few of the state-of-the-art techs you will be working with.To make sure you keep growing your knowledge around tech, we provide you with professional development opportunities like Hackathons, Tech hours, and have a development budget and pair programming days to improve our automated testing culture.Some of your responsibilities at Grabyo include (but are not limited to):Building awesome APIs as well as sleek, beautiful front-end client experiencesBuilding reliable micro-services and serverless architecturesIterating and optimizing products based on feedback and data analysisTaking ownership of your work/project by designing, building, maintaining, iterating and supporting new features and new productsRequirementsHow do I get this job?Proficiency in a modern programming language (Java, Javascript, Python or Go). Proven expertise and professional experience databases (SQL and NoSQL)Knowledge of micro-service oriented architecturesProven expertise with cloud providers (bonus points for AWS - our chosen cloud provider)Passion for emerging technologiesAt least two years of commercial experienceThe recruitment processWe aim to have a quick and dynamic hiring process. This process lasts around two weeks and it has the following stages:Initial face to face interview (around 1 hour) to understand your interests and career expectations to ensure we are a good fit for each otherTechnical test to be completed at homeFinal face to face interview (around 3 hours) with our lead developers to go through your test and your technical knowledgeBenefitsPersonal development budget and training materialTech hours and security daysBiannual performance reviewsFully remote (+/- 3h GMT) and hybrid optionsWFH Abroad Allowance (+/- 3h GMT)Working from home budgetFlexible working hoursCycle scheme25 days holiday and additional unpaid holiday weekFlexible holiday carry-overAwaydays and Christmas partyRegular social events (office & remote)Team social budgetsGrabyo book libraryWe are an equal opportunity employer and value diversity in our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3855020509,,Software Engineer (Remote),WealthKernel,"City Of London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3854568737,,Trainee Web Developer Career Pathway,Nuyew Tech Academy,"City Of London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3816052221,,"Software Engineer, User Interface SDK",Roku,"Cambridge, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3855348600,,Software Engineer,LEX Diagnostics,"Cambridge, England, UK",,2024-03-13,"Working at AdaptavistThe Adaptavist Group is a global family of companies with a common goal. We combine the best of teamwork, technology, and processes, helping all kinds of businesses be better today and tomorrow.We are experts at delivering enterprise software, tailored solutions, and quality services across some of the world’s most trusted technology ecosystems, including Atlassian, AWS, Slack, GitLab, Monday.com and Aha!We make change happen. From anywhere.Our flexible, remote-first way of working means that work can fit around your life, rather than your life fitting around work.Some of our global benefits include; Unlimited Holiday Pension matching up to 5% Employee assistance programme Udemy Online Learning Volunteer Days Flexible working hours Enhanced Maternity and Paternity Leave Season ticket loan Eye Care Vouchers Life Assurance Income Protection Scheme Private Medical with Bupa Bring your dog to work Adaptavist RewardsAbout The TeamScriptRunner is an Add-on that helps solve the challenges that users face every day within the Atlassian Ecosystem. It automates bulk actions, creates scripted fields, and helps develop distinct workflows. It makes team collaboration easy by ensuring that the work they do is visible across all the teams.About The RoleAs a Software Engineer within the ScriptRunner team, you will contribute to apps that help 20 million people around the world who use the Atlassian tools, enabling them to get the most out of their products and enhancing their overall experience.Your responsibilities will involve building and maintaining our flagship ScriptRunner products. You will be expected to support your immediate team and also work independently to create, maintain and improve current and future ScriptRunner products and services.You will collaborate with Product Managers and other engineers throughout the Product Lifecycle to define, build, test and deploy application features and improvements.What You'll Be DoingAnalysis & Investigation  Perform root cause analysis to understand key, underlying causes of customer issues Debugging technical issues and formulate hypotheses Perform impact analysis and report on vulnerabilities Communicate with customers and stakeholders to gain a deeper understanding of escalated technical issuesEngineering Write clean, readable code Write robust automated tests Review other engineers code for quality and security Collaborate with other Engineers in design and implementation of high quality solutions Contribute to delivery of improved software delivery pipelineTeam Help foster an open atmosphere within the team Support and guide colleagues without judgment Embracing a continuous improvement mindsetWhat We're Looking For Strong software development skills in one backend technology (Java, Groovy) OR Experience with frontend technologies (Javascript, TypeScript, React) Experience working in a team environment Experience of agile methodologies Knowledge of working in CI environment Understanding service oriented architecture with extensible APIs Knowledge and interest in source code management with GITAt Adaptavist, we are committed to promoting a diverse and inclusive community, and believe this positively impacts both the creation of our innovative products and our delivery of bespoke solutions to our global customers and our own unique culture. We encourage all qualified applicants, regardless of age, disability, race, sexual orientation, religion or belief, sex, gender identity, pregnancy and maternity, marriage, and civil partnership status. From our family-friendly policies to our flexible work environment we offer a range of benefits and policies in order to support staff from all different backgrounds. If you have any questions, please do ask us.Check out our WORK180 pageCheck out our Flexa pageWe look forward to your application!



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3855905441,,Software Engineer,nudge,"London Area, United Kingdom",,2024-03-13,"About The CompanyWealthKernel (WK) is a VC-backed, award-winning FinTech company specialising in the Wealth Management industry. Our mission is to make financial services better and more accessible for everyday people. As an API-first technology company, we aim to become the AWS of savings, investment, and pension infrastructure. We are proud to announce that we were recently awarded the Startup Programme - FinTech prize at the CogX Awards 2023.About The JobSoftware Engineers at WK are solid individual contributors, are focused on tasks assigned to them within their team. We expect them to be self-starting, self-driven and being able to contribute to product features. We expect them to follow best practices and principles. They are part of a cross-functional, Agile team.Please note: While this is a remote position, we are only considering candidates based in the UK or Spain at this time.Job Responsibilities:Working with stakeholders, Product Managers, and other developers to break down high-level requirements into user stories Building, documenting, and testing features in our API first wealthtech platform Writing clean code and tests. Identifying and troubleshooting software issues Providing feedback on PRs Competent, quick learner, works on coding pieces with proper supervision Participates in code reviews, testing software systems, clear understanding of best practices (Clean code, Solid Principles) for writing code. Able to design software to solve a specific problem. RequirementsRequirements: Proven experience with C#, .Net Core, REST APIs.  Microservices, Event Sourcing experience highly beneficial. Strong analytical and problem-solving skills. Excellent communication and interpersonal skills. Ability to work independently and as part of a team. Proven track record of building effective relationships with internal and external stakeholders. Ability to manage multiple projects and priorities. Fluency in English Were looking for a Self-Starting, Self-Driven, Eager to learn developer with Domain Knowledge Ideally (Financial Services/Wealth Management/Brokerage/Trading) BenefitsWhy us?We believe in transparency and empowering people. We want you to challenge us and also to accept being challenged. We want you to learn from your mistakes. We want you to propose and try new things. We believe in results. We don’t micromanage. We trust you. You will have the opportunity to grow and develop your skills into new areas while working in an open, creative, and collaborative environment. You will work hands-on with experienced professionals who will always be one click away from you if you need their help. Company BenefitsWorking in a multicultural environment A positive and collaborative working culture Competitive pay package Remotely based position (forever!) Company team retreats If you have the confidence, energy, and passion to take on this exciting role, please get in touch!



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3831192695,,"Software Development Engineer, Amazon",Amazon,"London, England, UK",,2024-03-13,"LEX Diagnostics is a spin out from TTP, The Technology Partnership. LEX are an ambitious, well-funded point-of-care diagnostics business. We believe that fast, accessible molecular diagnostics will have a fundamental impact on how infectious diseases are managed at point of care and beyond. Our technology is uniquely able to address this challenge and we are commercialising it with partners who share our ambition. You can read more about LEX here.Joining LEX Diagnostics as a Software Engineer, you’ll collaborate and work closely with members of the software teams across both LEX and TTP to ensure the efficient development of firmware and software for this innovative diagnostic system.What you will be doingDeveloping firmware and software in close collaboration with both internal and external Software teamsConfident at understanding the particular requirements of regulated software development for in vitro diagnostics (IVDs)Ensuring the adherence to and upkeep of software requirements, along with their connections to other documents within the requirements structureWorking as part of the wider engineering team to troubleshoot and diagnose emerging issuesRequirementsTo be successful in this position, you will have the following skills and experience:Proficiency in C/C++ programming languagesExperience with Real-Time Operating Systems (RTOS) and bare-metal developmentA demonstrated track record of safety-critical software developmentConfident in working with embedded systems, including the ability to interpret electronics schematics and execute I/O operationsFamiliarity with Agile software development methodologiesMinimum of 3 years’ experience in troubleshooting software and electronic hardware issuesIf you do have any of the following skills or experience, then these would be beneficial towards your application:Experience in C# and Python programming languagesFamiliarity with MS Azure RTOS and MS Windows developmentPrevious involvement in regulated In Vitro Diagnostic (IVD) development, such as ISO13485 and IEC62304 complianceEnhanced understanding of electronics, including the ability to interpret component datasheetsApplied physics and/or engineering proficiency in mechanical, thermal, and optical systemsBenefitsLEX Diagnostics is part of TTP Group, an employee-owned business. It operates from green surroundings in Melbourn, less than 10 miles south of Cambridge. TTP Group takes a long-term approach to investment and has been at the forefront of point-of-care diagnostics for over 20 years. Drawing upon the expertise of its consultants in the Life Science sector, and the management experience of a company with a 30-year track record of developing breakthrough technology and creating ambitious tech businesses, TTP Group invested core IP and staff into LEX in 2020.Our Benefits IncludeAnnual profit-related bonusEmployer pension contribution of 12% of pensionable payPrivate medical insurance for employees and dependantsFree lunch and all-day refreshmentsLife insurance worth 6 x salary25 days holiday with the option to carry over or bring forward 5 daysEnhanced maternity and paternity leave, with the option to return part-time for a yearElectric car leasing schemeCycle to work schemePublic Transport Season ticket loanA wide range of social clubs and activities including squash, Zumba, yoga, arts and crafts and even our own rock band!Local sports facilities and theatre discounts and memberships as well as our own onsite gym to useIf you are passionate about developing firmware and software for ground-breaking medical devices and enjoy working in a collaborative team environment, we encourage you to apply for this exciting opportunity.Every application will receive a response.
        


        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3831236852,,Full Stack Software Engineer,DAI,"London, England, UK",,2024-03-13,"Teamwork makes the stream work.Roku Is Changing How The World Watches TVRoku is the #1 TV streaming platform in the US, and we've set our sights on powering every television in the world. Roku pioneered streaming to the TV. Our mission is to be the TV streaming platform that connects the entire TV ecosystem. We connect consumers to the content they love, enable content publishers to build and monetize large audiences, and provide advertisers unique capabilities to engage consumers.From your first day at Roku, you'll make a valuable - and valued - contribution. We're a fast-growing public company where no one is a bystander. We offer you the opportunity to delight millions of TV streamers around the world while gaining meaningful experience across a variety of disciplines.About The TeamThis team spends most of its time working on customer focused features that improve the user experience, from content discovery and search to Roku pay and subscription to embedded software and firmware, and much more. Our product roadmap helps us accelerate our growth and scale, putting surprising new features into the hands of tens of millions of Roku users worldwide.Our developers and engineers are owners. They are motivated from within, finding and taking on a feature or project simply because that problem needs to be solved and shipped. But that individual must work together with different engineering teams, UI design, product teams, and business leadership to make things happen, which means that engineers succeed here because they can maintain that independent spirit and motivation within a deeply collaborative environment. We are the pragmatic dreamers inventing and re-inventing the world of streaming media.About The RoleRoku pioneered streaming to the TV and continues to innovate and lead the industry. While we are well-positioned to help shape the future of television and streaming media worldwide, continued success stems from experienced software engineers like you developing core features for the Roku platform.Our new Software Engineer will be contributing extensively to our embedded UI development, algorithm implementation for complex features to make it more user intuitive and underlying architecture. You will be working closely with product management to understand new features or extending current features for international market needs, development using modern C++ libraries/frameworks, scripting language and integration of third-party code. You will also be engaged in developing tools which can help larger development community within Roku. A proven track record of shipping high-quality software on embedded platforms is essential. This is a great role for a senior professional who enjoys a high level of visibility and thrives on great business impact.The features and performance improvements you implement directly impact millions of users every day. This is a great role for an experienced professional who has innovative ideas for complex problems and can translate these ideas into ultra-reliable software.What You’ll Be DoingDevelop core features of the Roku Channel app and Roku OS. Work closely with Product Development, UI/UX design, Platform Services, and Release Management teams to contribute to our application development. Investigate, diagnose and resolve issues. We’re excited if you haveExperience with JavaScript or C++Experience with OpenGL, DirectX, or any other graphics APIsExperience developing UI applications using popular frameworks such as ReactJSRelevant software development experience in embedded systemsExperience writing functional and integration testsA good understanding of Core OS concepts like memory management and multi-threadingA good understanding of API design, considerations and trade-offsStrong verbal and written communication skills (this role involves frequent communication with teams throughout Roku)An understanding of Linux tools, frameworks, and libraries Relevant experience in Automation/CI PipelineConsumer electronics experience building Media/Content and/or Ad productBachelors or Masters in Computer Science or related fieldsBenefitsRoku is committed to offering a diverse range of benefits as part of our compensation package to support our employees and their families. Our comprehensive benefits include global access to mental health and financial wellness support and resources. Local benefits include statutory and voluntary benefits which may include healthcare (medical, dental, and vision), life, accident, disability, commuter, and retirement options (401(k)/pension). Our employees can take time off work for vacation and other personal reasons to balance their evolving work and life needs. It's important to note that not every benefit is available in all locations or for every role. For details specific to your location, please consult with your recruiter.The Roku CultureRoku is a great place for people who want to work in a fast-paced environment where everyone is focused on the company's success rather than their own. We try to surround ourselves with people who are great at their jobs, who are easy to work with, and who keep their egos in check. We appreciate a sense of humor. We believe a fewer number of very talented folks can do more for less cost than a larger number of less talented teams. We’re independent thinkers with big ideas who act boldly, move fast and accomplish extraordinary things through collaboration and trust. In short, at Roku you'll be part of a company that's changing how the world watches TV. We have a unique culture that we are proud of. We think of ourselves primarily as problem-solvers, which itself is a two-part idea. We come up with the solution, but the solution isn't real until it is built and delivered to the customer. That penchant for action gives us a pragmatic approach to innovation, one that has served us well since 2002. To learn more about Roku, our global footprint, and how we've grown, visit https://www.weareroku.com/factsheet.



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3856187703,,Senior Software Engineer,Hook,"London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3831118306,,Backend Software Engineer (Python) - Revolut People,Revolut,"London, England, UK",,2024-03-13,"Software Engineer (Junior/Graduate)We're looking for a Software Engineer to help us improve the financial literacy, and wellbeing, of the world’s population – all 8bn of us!By combining data and behavioral psychology, our technology empowers users with personalised financial knowledge and skills.We’re a fast paced, and even faster growing, SaaS FinTech providing financial education to employees, customers and communities across +100 countries.This is a unique opportunity to make the world a better place, develop your skills, interests and experiences, and have a lot of fun along the way!Role overviewWe are a dynamic, fast growing business with employees and freelancers in over 15 countries, including the UK and US. We are driven by innovation and focused on delivering exceptional results to our clients and users. As the leader in our industry, we prioritise our people and understand that our success is directly linked to their satisfaction, growth, and wellbeing. To further strengthen our commitment to our employees, we are seeking a highly experienced and strategic Software Engineer to join our team.This will be a varied and dynamic role and will involve the following key responsibilities:Participation in full software development lifecycleWorking on front end using technologies such as Angular, Typescript, SCSS and WebAPBackend development using technologies including C#, .NET Framework and .NET CoreTesting Frameworks such as NUnit and the ability to carry out Test Driven DevelopmentPlaying an active role in the technology team to help with the direction of the product for end usersSkills and experienceWe’re a close-knit family so a willing, friendly and collaborative personality is really important to us. And we’re exceptionally nimble and things move fast so we really value ‘athletic’ minds and a “let’s give it a go” attitude.For this role the ideal candidate should have:Experience with .NET Framework or .NET Core and building software using C#Experience with HTML, CSS, Typescript, Angular and SQL DatabasesUnderstanding of what makes maintainable code and the ability to implement best practicesUnit and Integration TestingDebugging within Visual Studio (or an IDE of your preference)Open to Graduate applicationsWhat’s in it for you?At nudge we put people first. Our values are “friends through thick and thin”, “embracing differences, supporting individuals”, “leading and sharing” and “always learning”.We have an open, friendly, and supportive work environment that we’re proud of. And we’re growing fast which means great opportunities for you to gain broad and diverse experience alongside some of the brightest minds in the industry.We have an open, friendly, and supportive work environment that we’re proud of. And we’re growing fast which means great opportunities for you to gain broad and diverse experience alongside some of the brightest minds in the industry.We offer a very competitive reward and benefits package, which includes:Share optionsA competitive salaryA personal learning and development allowance25 days annual leave, plus your birthday offA company pension schemeLife Assurance and Critical illness coverPrivate Medical Insurance coverRegular company socials and wellbeing activitiesA flexible working environmentUnparalleled opportunity to develop your career rapidly through exposure to all company areas



        
            Show more
          

          



        
            Show less"
linkedin,https://www.linkedin.com/jobs/view/3765911161,,Machine Learning Engineer (Telematics),Zego,"London, England, UK",,2024-03-13,
linkedin,https://www.linkedin.com/jobs/view/3854207967,,"Python Software Engineer- Up to £140,000 + Bonus + Package",Hunter Bond,"Greater London, England, UK",,2024-03-13,"DAI’s Sustainable Business Group (SBG) is a specialized unit supporting companies in their efforts to become smarter corporate citizens in their local business operations and assisting public authorities to develop policy, regulation and incentives that grow sustainable industries. Our team advises companies on how to optimize their local supply base and labour force, demonstrate their long-term commitment to the country’s development, and become a trusted partner for government through initiatives in local content and corporate social investment. Technical focus areas include economic and policy analysis, supplier development, entrepreneurship, innovation, youth empowerment, education, and environmental sustainability.A central product of SBG’s Digital Products team is DAI’s Supplier Management Portal (SMP).The SMP product is used by multi-national companies to facilitate local spending on large capital projects and track positive impact on local economies throughout the world. It is a cloud-based platform that connects large-scale buyers to local small, and medium-sized enterprises (SMEs). This solution is developed and backed by DAI’s industry-leading experts in local content, leveraging decades of knowledge, insight, and experience in how local content is measured, monitored, reported, and analysed.To learn more about the Supplier Management Portal, visit our webpage: https://smp.dai.com/SBG is seeking a highly motivated Full Stack Software Engineer who will be responsible for ensuring that our products are delivered on time and meet the expectations of our customers. The Full Stack Software Engineer will be responsible for managing and overseeing the development and maintenance of the SMP platform as well as lead the technical design and delivery of our internal data cube – an internal initiative which we are soon to launch. The successful candidate will work closely with cross-functional teams including product management, quality assurance, and project management to ensure timely delivery of high-quality features and functionality.PLEASE NOTE: Whilst the below is the full scope of the role, it won’t be from day 1.The jobholder will have the opportunity to grow into the role and learn as they go in a supportive environment.Key Tasks, Duties And Responsibilities Planning and Project Management  Oversight and quality assurance of the SMP Engineering Team, providing technical direction and mentoring to team members. Work closely with the Product Management Team to develop and implement the SMP roadmap, ensuring alignment with business goals and customer needs. Collaborate with cross-functional teams to design, develop, test, and deploy new features and functionality on the SMP platform. Collaborate with cross-functional teams to design, build, test and deliver a scalable master data cube which will support SBG’s future growth initiatives and identify operational efficiencies. Development and Analysis  Ensure that the SMP platform meets high standards for performance, scalability, and security. Identify and address technical debt and system architecture issues, proactively suggesting improvements and solutions. Ensure that code and system documentation are up to date and well maintained. Continuously evaluate emerging technologies and trends, making recommendations for adoption and implementation where appropriate. Provide technical advice in resolving complex technical issues and debugging production issues. Write high-quality, well-documented code in Python, Django, and React/Next JS.Design, develop and maintain RESTful APIs. Maintenance/Systems Performance  Supervise unit tests and integration tests to ensure code quality and reliability. Experience in debugging and troubleshooting issues in a timely manner. Lead code reviews and provide constructive feedback. Stay up-to-date with the latest web development trends and technologies. Continuously improve the platform's performance, scalability, and user experience.Additional duties may be assigned depending on evolving business needs. Knowledge, Experience and Attributes:  Minimum qualifications:  Significant proven years of related professional experience and a college degree. Equivalent combinations of education and experience will be considered. Significant demonstrated experience with full-stack software development with a focus on building scalable and secure web-based applications. Demonstrated experience with Django/Python, React/Next JS and related programming languages. Demonstrated experience with database design and management (SQL, PostgreSQL). Experience designing, developing, and deploying data cubes for OLAP, business intelligence solutions and building ETLs. Experience implementing data warehouse design with a focus on multi-dimensional data modeling. Experience using data mining techniques to discover and profile data patterns in large datasets. Experience developing complex MDX/DAX queries for custom reporting needs. Experience with Git and version control. Demonstrated understanding of platform development, best practices in enterprise code deployment, and scaling platform architecture. Experience acting as a technical subject matter expert (SME) during scoping expansion discussion as well as scoping feasibility of future proposal work . Excellent written and oral communication skills, with the ability to clearly communicate technical information to non-technical audiences. Highly tuned analytical and problem-solving skills. Strong attention to detail and a commitment to delivering high-quality work. Self-directed with strong organizational skills and the ability to prioritize multiple tasks/competing deadlines simultaneously. Able to work as part of a decentralized team with minimal oversight. Able to build and maintain excellent working relationships with staff at all levels of the organization and external clients from diverse backgrounds. Able and willing to adjust work schedule, if needed, to support teams located in different time zones/countries.DAI offers a generous benefits package and there are several day-to-day perks of working at DAI that help keep us happy and motivated! Please make sure to provide a cover letter with salary your expectations.We are recruiting for these vacancies on a rolling basis, meaning there is no fixed deadline and applications will be assessed as they are received, and the vacancies will remain open until they are filled.Candidates must be eligible to live and work in their preferred location within the UK, without the need for sponsorship.All qualified applicants will receive consideration for employment without regard to race, colour, age, religion, sex, disability status, sexual orientation, gender identity, or national origin.This job description details the key elements of the role and is not an exhaustive list of duties. Job roles evolve over time and job-holders may be required to complete additional tasks in line with business needs.You will be pleased to know that we strive to uphold the highest ethical standards and that we are working with our clients to reduce the opportunity for people who are known to have breached ethical standards to work in our field.  Any staff and/or consultant contract with DAI, therefore, will be subject to stringent, satisfactory reference checking and vetting.If you require any reasonable adjustments to the interview or recruitment process please contact Victoria_tres@DAI.COM (Please do not send applications directly to this inbox).If this role sounds interesting and you would like to be part of DAI’s growing business, bidding for and managing donor-funded projects round the world, we look forward to hearing from you.
        


        
            Show more
          

          



        
            Show less"
